2454074.787373       143       13.6377       0.0908
2454074.789803       143       13.5553       0.0898
2454075.618507       143       13.3475       0.0792
2454075.620058       143       13.3587       0.0798
2454075.621655       143       13.3171       0.0769
2454075.623183       143       13.2687       0.0722
2454075.624792       143       13.3544       0.0755
2454075.626389       143       13.3593       0.0749
2454075.627998       143       13.3580       0.0740
2454075.629560       143       13.4559       0.0800
2454075.631111       143       13.3370       0.0704
2454075.632697       143       13.4230       0.0761
2454075.634317       143       13.3591       0.0718
2454075.635845       143       13.3332       0.0692
2454075.637373       143       13.3171       0.0685
2454075.638924       143       13.5312       0.0823
2454075.640451       143       13.3397       0.0685
2454075.642014       143       13.3149       0.0673
2454075.643646       143       13.4261       0.0736
2454075.645278       143       13.4817       0.0777
2454075.646829       143       13.3824       0.0707
2454075.648426       143       13.4572       0.0753
2454075.650058       143       13.3983       0.0713
2454075.651597       143       13.3865       0.0702
2454075.653148       143       13.5493       0.0812
2454075.654734       143       13.4694       0.0753
2454075.656354       143       13.4069       0.0711
2454075.657917       143       13.4294       0.0725
2454075.659525       143       13.5141       0.0781
2454075.661123       143       13.5004       0.0771
2454075.662708       143       13.4710       0.0740
2454075.664329       143       13.4350       0.0721
2454075.666748       143       13.4164       0.0706
2454075.668275       143       13.4356       0.0724
2454075.669861       143       13.3547       0.0666
2454075.671424       143       13.5255       0.0774
2454075.673009       143       13.4881       0.0749
2454075.674537       143       13.5406       0.0789
2454075.676157       143       13.5625       0.0805
2454075.677836       143       13.5469       0.0792
2454075.680255       143       13.5022       0.0758
2454075.681782       143       13.4141       0.0701
2454075.683310       143       13.5979       0.0824
2454075.684896       143       13.5275       0.0775
2454075.686481       143       13.5359       0.0778
2454075.688252       143       13.5396       0.0778
2454075.689850       143       13.5160       0.0765
2454075.691366       143       13.6182       0.0841
2454075.692986       143       13.5695       0.0802
2454075.694641       143       13.5323       0.0774
2454075.696285       143       13.7237       0.0905
2454075.697847       143       13.5721       0.0789
2454075.699468       143       13.5224       0.0766
2454075.700984       143       13.6134       0.0834
2454075.702512       143       13.5355       0.0777
2454075.704097       143       13.4861       0.0736
2454075.705660       143       13.5681       0.0786
2454075.707338       143       13.5841       0.0811
2454075.708866       143       13.7117       0.0914
2454075.710475       143       13.5636       0.0786
2454075.712002       143       13.4417       0.0711
2454075.713565       143       13.5353       0.0780
2454075.715116       143       13.5499       0.0787
2454075.716736       143       13.5189       0.0766
2454075.718299       143       13.5409       0.0781
2454075.719815       143       13.6257       0.0832
2454075.721493       143       13.5111       0.0759
2454075.723148       143       13.3619       0.0659
2454075.724745       143       13.4483       0.0711
2454075.726366       143       13.4347       0.0693
2454075.727975       143       13.5400       0.0774
2454075.729502       143       13.5663       0.0790
2454075.731030       143       13.4267       0.0708
