HJD,camera,magnitude,"magnitude error"
2453945.617049,145,14.7701,0.0761
2453945.620069,145,14.6750,0.0692
2453945.623079,145,14.7430,0.0735
2453945.626262,145,14.6947,0.0704
2453945.630278,145,14.6944,0.0696
2453945.634201,145,14.6670,0.0688
2453945.637442,145,14.5622,0.0620
2453945.640451,145,14.5804,0.0640
2453945.643634,145,14.3735,0.0543
2453945.646748,145,14.2020,0.0478
2453945.649792,145,14.1013,0.0445
2453945.656551,145,14.1001,0.0487
2453945.659537,145,14.1816,0.0463
2453945.662616,145,14.3273,0.0522
2453945.665602,145,14.2809,0.0486
2453945.669398,145,14.4508,0.0562
2453945.673194,145,14.4651,0.0554
2453945.676215,145,14.4240,0.0528
2453945.679178,145,14.5771,0.0599
2453945.682350,145,14.4270,0.0595
2453945.685394,145,14.6739,0.0655
2453945.689225,145,14.4913,0.0569
2453945.692245,145,14.4686,0.0548
2453945.709363,145,14.6850,0.0680
2453945.711644,145,14.5076,0.0608
2453945.713877,145,14.5897,0.0619
2453945.716181,145,14.6012,0.0647
2453945.718461,145,14.6231,0.0668
2453945.720787,145,14.6380,0.0682
2453945.722998,145,14.6417,0.0737
2453945.725278,145,14.6250,0.0796
2453945.728391,145,14.5407,0.0871
2453945.730660,145,14.8449,0.1396
2453945.732928,145,14.8632,0.1763
2453946.516262,145,14.5286,0.0602
2453946.521019,145,14.6257,0.0634
2453946.526285,145,14.5573,0.0593
2453946.530949,145,14.5676,0.0594
2453946.535775,145,14.8885,0.0777
2453946.541227,145,14.6953,0.0647
2453946.546493,145,14.6556,0.0622
2453946.551065,145,14.7173,0.0635
2453946.554201,145,14.7855,0.0685
2453946.558183,145,14.8844,0.0745
2453946.561331,145,14.6729,0.0618
2453946.564387,145,14.7265,0.0647
2453946.567546,145,14.5536,0.0552
2453946.570671,145,14.4456,0.0505
2453946.573715,145,14.4626,0.0512
2453946.576829,145,14.1433,0.0390
2453946.580718,145,14.2013,0.0409
2453946.584641,145,14.1255,0.0386
2453946.587755,145,14.1757,0.0402
2453946.590926,145,14.3028,0.0437
2453946.594688,145,14.3293,0.0454
2453946.597708,145,14.3069,0.0444
2453946.600741,145,14.3813,0.0474
2453946.603854,145,14.3048,0.0435
2453946.606956,145,14.3979,0.0469
2453946.609988,145,14.5255,0.0526
2453946.613125,145,14.6177,0.0571
2453946.617014,145,14.5941,0.0559
2453946.619965,145,14.6535,0.0579
2453946.622963,145,14.4658,0.0489
2453946.626134,145,14.5317,0.0516
2453946.630926,145,14.7009,0.0606
2453946.633958,145,14.6456,0.0577
2453946.636944,145,14.7749,0.0641
2453946.639931,145,14.6897,0.0593
2453946.643079,145,14.6622,0.0570
2453946.646250,145,14.6436,0.0565
2453946.649988,145,14.7188,0.0601
2453946.653067,145,14.6434,0.0565
2453946.656088,145,14.6908,0.0590
2453946.659178,145,14.6049,0.0544
2453946.662153,145,14.7474,0.0617
2453946.666053,145,14.7421,0.0618
2453946.669155,145,14.7076,0.0599
2453946.673275,145,14.6963,0.0597
2453946.676377,145,14.4727,0.0483
2453946.679560,145,14.3833,0.0451
2453946.682454,145,14.1563,0.0370
2453946.686250,145,14.0978,0.0350
2453946.689398,145,14.1910,0.0387
2453946.692512,145,14.2069,0.0389
2453946.709630,145,14.4291,0.0458
2453946.711991,145,14.6294,0.0562
2453946.714225,145,14.4689,0.0486
2453946.716574,145,14.5181,0.0514
2453946.718900,145,14.5357,0.0534
2453946.721146,145,14.5832,0.0574
2453946.723414,145,14.7000,0.0688
2453946.726493,145,14.5192,0.0677
2453946.728866,145,14.7228,0.0938
2453946.731157,145,14.5376,0.0978
2453946.733472,145,14.8784,0.1685
2453947.513461,145,14.0605,0.0458
2453947.518113,145,14.3116,0.0538
2453947.523333,145,14.2783,0.0519
2453947.527998,145,14.3493,0.0541
2453947.532755,145,14.3312,0.0527
2453947.538275,145,14.5159,0.0598
2453947.543681,145,14.5286,0.0605
2453947.548322,145,14.5589,0.0617
2453947.551563,145,14.4242,0.0543
2453947.555428,145,14.6538,0.0658
2453947.558542,145,14.6249,0.0648
2453947.561644,145,14.5121,0.0585
2453947.564676,145,14.5389,0.0594
2453947.567778,145,14.7229,0.0693
2453947.570833,145,14.7596,0.0713
2453947.573889,145,14.5465,0.0598
2453947.577801,145,14.6421,0.0644
2453947.581794,145,14.6855,0.0662
2453947.585023,145,14.6153,0.0636
2453947.588137,145,14.7332,0.0687
2453947.592002,145,14.7701,0.0711
2453947.595046,145,14.6760,0.0659
2453947.598067,145,14.6375,0.0645
2453947.601204,145,14.5651,0.0604
2453947.604410,145,14.3995,0.0527
2453947.607535,145,14.3488,0.0516
2453947.611516,145,14.2072,0.0464
2453947.614595,145,14.1023,0.0416
2453947.617639,145,14.1359,0.0439
2453947.620694,145,14.1618,0.0436
2453947.624618,145,14.2582,0.0462
2453947.628380,145,14.2139,0.0444
2453947.631493,145,14.2735,0.0466
2453947.634583,145,14.3839,0.0500
2453947.637650,145,14.3804,0.0498
2453947.640671,145,14.5775,0.0591
2453947.643843,145,14.4217,0.0514
2453947.647674,145,14.5323,0.0563
2453947.650764,145,14.5523,0.0572
2453947.653750,145,14.6212,0.0604
2453947.656771,145,14.5121,0.0558
2453947.659792,145,14.5020,0.0581
2453947.663623,145,14.5894,0.0578
2453947.666794,145,14.6665,0.0612
2453947.670671,145,14.7377,0.0652
2453947.673681,145,14.6930,0.0635
2453947.676759,145,14.6490,0.0626
2453947.679722,145,14.6213,0.0602
2453947.683391,145,14.6629,0.0623
2453947.686389,145,14.6137,0.0600
2453947.689363,145,14.7343,0.0674
2453947.692361,145,14.7532,0.0687
2453947.709468,145,14.4465,0.0555
2453947.711690,145,14.2374,0.0481
2453947.714016,145,14.2086,0.0473
2453947.716262,145,14.1700,0.0464
2453947.718600,145,14.0770,0.0455
2453947.720891,145,14.1756,0.0489
2453947.724109,145,14.1822,0.0518
2453947.726377,145,14.2187,0.0576
2453947.728611,145,14.1642,0.0615
2453947.730856,145,14.1719,0.0714
2453947.734155,145,14.7767,0.1629
2453948.509201,145,14.6796,0.0791
2453948.513738,145,14.7659,0.0844
2453948.519028,145,14.6849,0.0776
2453948.523831,145,14.7107,0.0806
2453948.528391,145,14.7442,0.0811
