HJD,camera,magnitude,"magnitude error"
2453981.530035,145,14.2699,0.1071
2453981.535660,145,14.5231,0.1246
2453981.539641,145,14.2766,0.0985
2453981.543681,145,14.7940,0.1459
2453981.548461,145,14.5601,0.1171
2453981.553333,145,14.7729,0.1366
2453981.559063,145,15.0567,0.2201
2453981.563831,145,14.3174,0.1674
2453981.568623,145,14.3648,0.1428
2453981.573472,145,14.7111,0.4303
2453981.604074,145,13.9912,2.0641
2453981.608981,145,14.0662,0.4160
2453981.613762,148,14.8225,1.5866
2453981.621759,145,14.8166,2.2482
2453981.622569,148,15.8368,6.8793
2453981.686701,145,14.0716,0.1316
2453981.689931,145,14.2448,0.0983
2453981.693194,145,14.3296,0.0940
2453981.696331,145,14.1131,0.0782
2453981.697153,148,14.4817,0.0653
2453981.700359,145,14.2172,0.0903
2453981.701134,148,14.1821,0.0506
2453981.703600,145,14.3451,0.0922
2453981.704398,148,14.2093,0.0508
2453981.707581,148,14.1293,0.0479
2453981.709942,148,14.3224,0.0596
2453981.730428,148,14.5975,0.0781
2453981.732731,148,14.8838,0.1050
2453981.735127,148,15.5983,0.4450
2453989.408669,145,14.7358,0.2477
2453989.413611,145,15.5380,0.5481
2453989.416157,145,14.5696,0.2287
2453989.418461,145,14.5696,0.2307
2453989.420868,145,15.0941,0.3706
2453989.423449,145,14.2374,0.1755
2453989.427650,145,14.9370,0.3287
2453989.430035,145,14.4271,0.2066
2453989.432442,145,14.3728,0.1985
2453989.434780,145,14.0692,0.1563
2453989.437164,145,14.6573,0.2620
2453989.439572,145,14.4284,0.2157
2453989.443519,145,14.1666,0.1696
2453989.490914,145,14.7042,0.2554
2453989.494074,145,14.6503,0.2423
2453989.497222,145,14.4181,0.1983
2453989.501308,145,14.5693,0.2256
2453989.504410,145,14.5914,0.2293
2453989.507650,145,14.6136,0.2352
2453989.510856,145,14.6095,0.2307
2453989.515023,145,14.8232,0.2854
2453989.518229,145,14.7828,0.2669
2453989.521343,145,15.2256,0.4003
2453989.524606,145,14.3055,0.1725
2453989.527859,145,14.5765,0.2224
2453989.531111,145,14.8477,0.2815
2453989.535069,145,15.0811,0.3526
2453989.538252,145,14.6343,0.2226
2453989.539028,148,12.7735,0.0428
2453989.541447,145,14.7912,0.2604
2453989.542199,148,12.3775,0.0325
2453989.544630,145,14.1591,0.1499
2453989.545417,148,12.3255,0.0317
2453989.547778,145,14.5396,0.2109
2453989.549421,148,12.3094,0.0314
2453989.551852,145,14.5046,0.2050
2453989.552627,148,12.0279,0.0260
2453989.555833,145,14.3819,0.1827
2453989.556678,148,12.7211,0.0396
2453989.559097,145,14.0412,0.1343
2453989.559850,148,14.7791,0.2403
2453989.562211,145,14.2326,0.1608
2453989.562963,148,14.4513,0.1786
2453989.565359,145,14.8391,0.2762
2453989.566192,148,14.4763,0.1794
2453989.568681,145,14.7290,0.2508
2453989.570243,148,14.5616,0.1955
2453989.572766,145,14.4910,0.1995
2453989.573519,148,14.7230,0.2192
2453989.576007,145,14.1561,0.1486
2453989.579363,145,14.6366,0.2274
2453989.580116,148,14.5263,0.1868
2453989.582639,145,15.0935,0.3499
2453989.583495,148,14.6964,0.2221
2453989.585938,145,14.8279,0.2796
2453989.586701,148,14.5848,0.1993
2453989.588299,145,14.3808,0.1861
2453989.589074,148,14.3543,0.1618
2453989.590660,145,14.6973,0.2457
2453989.591447,148,14.6966,0.2198
2453989.593056,145,15.1185,0.3614
2453989.595428,145,14.3027,0.1725
2453989.596331,148,14.7715,0.2400
2453989.598692,145,15.0683,0.3487
2453989.599468,148,14.6535,0.2149
2453989.601053,145,14.6412,0.2368
2453989.603391,145,14.3595,0.1828
2453989.604144,148,14.5305,0.1917
2453989.606574,145,15.2205,0.3967
2453989.607338,148,14.9814,0.2847
2453989.608912,145,14.3987,0.1871
2453989.611262,145,14.6353,0.2314
2453989.612014,148,14.7732,0.2329
2453989.613785,145,15.0588,0.3383
2453989.614537,148,15.9568,0.6879
2453989.616100,145,14.8713,0.2799
2453989.616933,148,15.1988,0.3423
2453989.618484,145,14.2780,0.1631
2453989.619294,148,14.6664,0.2117
2453989.621632,145,14.9403,0.3038
2453989.622407,148,14.4847,0.1743
2453989.624005,145,14.2668,0.1627
2453989.626424,145,15.5211,0.5023
2453989.627164,148,15.6688,0.5188
2453989.628727,145,15.4435,0.4807
2453989.629572,148,14.7782,0.2317
2453989.631100,145,15.3833,0.4581
2453989.631910,148,15.4535,0.4336
2453989.633553,145,15.4498,0.4895
2453989.634340,148,14.8338,0.2457
2453989.635914,145,14.6120,0.2246
2453989.636690,148,14.8037,0.2376
2453989.638264,145,14.5372,0.2094
2453989.639097,148,14.5091,0.1811
2453989.639850,145,14.3187,0.1722
2453989.640625,148,14.8836,0.2567
2453989.642118,145,14.5309,0.2107
2453989.642870,148,14.3203,0.1536
2453989.643634,145,15.5325,0.5311
2453989.644444,148,14.5735,0.1951
2453989.645197,145,14.4969,0.2071
2453989.645972,148,14.5038,0.1835
2453989.646782,145,14.5539,0.2202
2453989.647535,148,14.7152,0.2220
2453989.649051,148,14.3952,0.1742
2453989.649803,145,14.2402,0.1671
2453989.650579,148,14.1270,0.1354
2453989.651354,145,14.7043,0.2565
2453989.652141,148,14.2847,0.1564
2453989.653750,148,14.3955,0.1729
2453989.654572,145,14.2788,0.1747
2453989.655440,148,14.7689,0.2390
2453989.656181,145,14.3626,0.1881
2453989.656956,148,14.8843,0.2626
2453989.657743,145,14.5726,0.2270
2453989.658542,148,14.4343,0.1772
2453989.659387,145,14.7203,0.2636
2453989.660938,145,14.6456,0.2468
2453989.661690,148,14.1627,0.1425
2453989.662465,145,14.6522,0.2497
2453989.663218,148,14.1001,0.1336
2453989.663993,145,14.1755,0.1615
2453989.664745,148,14.0441,0.1255
2453989.665521,145,15.6795,0.6379
2453989.666389,148,14.3194,0.1618
2453989.667269,145,14.4858,0.2140
2453989.668044,148,14.1107,0.1333
2453989.668819,145,14.7254,0.2671
2453989.669595,148,14.1195,0.1362
2453989.670370,145,14.9538,0.3279
2453989.671123,148,14.1671,0.1432
2453989.672025,145,14.3286,0.1891
2453989.672870,148,14.6639,0.2266
2453989.673669,145,14.4490,0.2094
2453989.674456,148,14.3662,0.1728
2453989.675231,145,15.3684,0.4933
2453989.676007,148,14.7685,0.2493
2453989.676759,145,14.6117,0.2459
2453989.677685,148,14.5496,0.2051
2453989.678495,145,14.6561,0.2587
2453989.679248,148,14.1049,0.1381
2453989.680058,145,14.5237,0.2306
2453989.680810,148,14.5473,0.2049
2453989.681574,145,15.1951,0.4256
2453989.682326,148,15.3262,0.4222
2453989.683079,145,14.8548,0.3135
2453989.683831,148,14.4554,0.1908
2453989.685509,148,14.6405,0.2252
2453989.686157,148,14.5867,0.2136
2453989.686817,148,14.3647,0.1754
2453989.687500,148,14.5574,0.2070
2453989.688183,148,14.6785,0.2349
2453989.688831,148,15.5309,0.5126
2453989.690162,148,14.8316,0.2742
2453989.690799,148,14.5995,0.2218
2453989.691424,148,14.3916,0.1837
2453989.692095,148,15.0595,0.3343
2453989.692731,148,14.7125,0.2480
2453989.693380,148,14.4855,0.2011
2453989.694028,148,14.9589,0.3139
2453989.694688,148,14.4264,0.1936
2453989.695313,148,14.4465,0.1941
2453989.695995,148,14.6695,0.2426
2453989.696644,148,14.2173,0.1588
2453989.697303,148,15.0408,0.3417
2453989.697951,148,14.9148,0.3040
2453989.698600,148,15.1466,0.3743
2453989.699236,148,14.8127,0.2784
2453989.699919,148,15.6393,0.6019
2453989.700625,148,15.2304,0.4152
2453989.701377,148,14.7647,0.2728
2453989.702002,148,14.7670,0.2733
2453989.702662,148,14.5948,0.2350
2453989.703345,148,14.9920,0.3383
2453989.704028,148,14.9500,0.3262
2453989.704734,148,14.4165,0.2002
2453989.705370,148,14.5072,0.2190
2453989.706042,148,14.8258,0.2935
2453989.706771,148,14.2361,0.1716
2453989.707442,148,14.8404,0.2972
2453989.708194,148,14.4816,0.2129
2453989.708843,148,14.6353,0.2438
2453989.709502,148,14.5979,0.2382
2453989.710150,148,14.9668,0.3323
2453989.710799,148,15.0210,0.3547
2453989.711458,148,14.8515,0.3053
2453989.712083,148,14.7280,0.2730
2453989.712743,148,14.3984,0.2022
2453989.713414,148,14.5587,0.2350
2453989.714167,148,14.5662,0.2345
2453989.719086,148,15.7216,0.7004
2453989.719769,148,15.4082,0.5266
2453989.721146,148,14.6224,0.2562
2453989.721794,148,14.2645,0.1837
2453989.722442,148,15.2646,0.4591
2453989.723067,148,15.2452,0.4525
2453989.723762,148,14.6029,0.2515
2453989.724433,148,15.6594,0.6592
2453989.725069,148,15.5342,0.5910
2453990.395938,145,14.3624,0.0796
2453990.398356,145,14.4355,0.0773
2453990.400694,145,14.3049,0.0719
2453990.403067,145,14.5612,0.0789
2453990.406273,145,14.3536,0.0688
2453990.408576,145,14.6658,0.0872
2453990.410995,145,14.6700,0.0888
2453990.413461,145,14.4959,0.0812
2453990.415891,145,14.7419,0.1030
2453990.418218,145,14.6770,0.1027
2453990.420648,145,14.7423,0.1122
2453990.423877,145,14.4446,0.0933
2453990.426250,145,14.7079,0.1226
2453990.428646,145,14.7330,0.1300
2453990.431076,145,14.8311,0.1448
2453990.433414,145,14.5597,0.1180
2453990.435845,145,14.7053,0.1388
2453990.438241,145,14.3741,0.1052
2453990.441655,145,14.7141,0.1453
2453990.444931,145,14.8459,0.1682
2453990.448125,145,14.5077,0.1247
2453990.451470,145,14.9231,0.1856
2453990.454664,145,15.4427,0.2994
2453990.457940,145,14.9498,0.1898
2453990.461979,145,14.4002,0.1168
2453990.466215,145,14.4135,0.1184
2453990.469329,145,14.4891,0.1273
2453990.472407,145,14.2571,0.1028
2453990.476586,145,14.0276,0.0840
2453990.479757,145,14.2275,0.0985
2453990.483681,145,14.1923,0.0974
2453990.487755,145,14.1384,0.0907
2453990.491806,145,14.1248,0.0898
2453990.496620,145,14.5856,0.1366
2453990.500602,145,14.5244,0.1293
2453990.504722,145,14.3035,0.1049
2453990.509572,145,14.3315,0.1073
2453990.514491,145,14.6305,0.1436
2453990.518449,145,14.6985,0.1521
2453990.522396,145,14.8841,0.1796
2453990.526343,145,14.5899,0.1389
2453990.530278,145,14.4503,0.1227
2453990.535069,145,14.3289,0.1110
2453990.538993,145,14.6427,0.1440
2453990.543310,145,14.6866,0.1503
2453990.547326,145,15.4711,0.3080
2453990.551308,145,14.5623,0.1364
2453990.552998,148,13.4816,0.0519
2453990.556111,145,14.7865,0.1677
2453990.556979,148,13.2391,0.0430
2453990.560220,145,14.6223,0.1421
2453990.560961,148,13.1856,0.0397
2453990.564294,145,14.6787,0.1507
2453990.565162,148,13.1304,0.0396
2453990.569213,145,14.5072,0.1293
2453990.569954,148,13.1249,0.0382
2453990.573160,145,14.2474,0.1027
2453990.577269,145,14.3881,0.1169
2453990.578056,148,14.5580,0.1214
2453990.581343,145,14.2448,0.1005
2453990.582998,148,14.4739,0.1110
2453990.585394,145,14.2172,0.0984
2453990.586146,148,14.3897,0.1027
2453990.588623,145,14.2610,0.1038
2453990.589410,148,14.3593,0.1006
2453990.591863,145,14.1184,0.0893
2453990.592639,148,14.2330,0.0911
2453990.595046,145,14.3236,0.1101
2453990.596667,148,14.7556,0.1440
2453990.599086,145,14.2977,0.1077
2453990.599988,148,14.6536,0.1313
2453990.603171,145,14.4849,0.1258
2453990.603947,148,14.6062,0.1260
2453990.606366,145,14.5204,0.1325
2453990.607153,148,14.4248,0.1078
2453990.609641,145,14.8530,0.1797
2453990.610394,148,14.5107,0.1165
2453990.612778,145,14.6183,0.1451
2453990.613530,148,14.6915,0.1363
2453990.615995,145,14.6042,0.1445
2453990.616736,148,14.7561,0.1459
2453990.619919,145,14.6159,0.1465
2453990.620718,148,14.9990,0.1814
2453990.623183,145,14.8623,0.1826
2453990.623935,148,14.8525,0.1590
2453990.626354,145,14.5458,0.1363
2453990.627106,148,14.9600,0.1735
2453990.629537,145,14.6839,0.1565
2453990.630347,148,14.7698,0.1447
2453990.632917,145,14.7116,0.1600
2453990.633681,148,14.8611,0.1619
2453990.635289,145,14.6103,0.1480
2453990.636065,148,14.5211,0.1191
2453990.637662,145,15.0130,0.2148
2453990.639954,148,14.7549,0.1483
2453990.641609,145,14.4546,0.1304
2453990.642454,148,14.9408,0.1739
2453990.644097,145,14.7889,0.1781
2453990.644850,148,15.6805,0.3473
2453990.646400,145,14.8733,0.1912
2453990.647153,148,15.0525,0.1969
2453990.648762,145,14.8235,0.1858
2453990.649572,148,14.8584,0.1652
2453990.651204,145,14.5728,0.1477
2453990.652002,148,14.8999,0.1720
2453990.654306,145,14.9717,0.2145
2453990.655081,148,15.0000,0.1902
2453990.656678,145,14.5357,0.1454
2453990.657454,148,14.9826,0.1874
2453990.659005,145,15.0896,0.2416
2453990.659757,148,14.8447,0.1676
2453990.661308,145,14.6936,0.1702
2453990.662083,148,15.0129,0.1961
2453990.663646,145,14.6171,0.1584
2453990.664514,148,15.0340,0.2002
2453990.666134,145,14.5891,0.1561
2453990.666944,148,14.7192,0.1507
2453990.668553,145,14.8683,0.2024
2453990.669375,148,14.7448,0.1551
2453990.670961,145,14.7118,0.1755
2453990.671829,148,14.4246,0.1180
2453990.674294,145,14.3511,0.1270
2453990.675162,148,14.6362,0.1421
2453990.676806,145,14.5106,0.1476
2453990.679387,145,14.5130,0.1473
2453990.680174,148,14.8415,0.1713
2453990.683287,148,14.6815,0.1513
2453990.684838,148,14.1801,0.0973
2453990.688241,148,13.9902,0.0838
2453990.689757,148,14.6254,0.1471
2453990.691319,148,14.4028,0.1225
2453990.692963,148,14.1993,0.1023
2453990.695451,148,14.4808,0.1321
2453990.697037,148,14.1018,0.0955
2453990.698634,148,14.4413,0.1306
2453990.700185,148,14.6431,0.1584
2453990.701736,148,14.8129,0.1869
2453990.703299,148,14.4112,0.1285
2453990.704826,148,14.5550,0.1479
2453990.706412,148,15.6729,0.4181
2453990.707998,148,14.8622,0.2011
2453990.709618,148,14.8496,0.1963
2453990.711169,148,14.0012,0.0939
2453990.712801,148,14.8235,0.1996
2453990.714433,148,14.7129,0.1803
2453990.719421,148,14.3864,0.1369
2453990.720984,148,14.6253,0.1702
2453991.393125,145,14.7821,0.0814
2453991.395521,145,14.6761,0.0732
2453991.397859,145,14.4970,0.0624
2453991.400197,145,14.5098,0.0620
2453991.403461,145,14.3899,0.0558
2453991.405891,145,14.2363,0.0482
2453991.408345,145,14.1817,0.0454
2453991.410706,145,14.1275,0.0430
2453991.413079,145,14.3108,0.0493
2453991.415532,145,14.3009,0.0493
2453991.417986,145,14.3341,0.0499
2453991.422072,145,14.3061,0.0479
2453991.424595,145,14.3228,0.0480
2453991.426898,145,14.4839,0.0559
2453991.429294,145,14.6103,0.0613
2453991.431620,145,14.3511,0.0491
2453991.433958,145,14.5302,0.0569
2453991.438229,145,14.4661,0.0550
2453991.441678,145,14.4581,0.0564
2453991.444954,145,14.5492,0.0640
2453991.448160,145,14.5731,0.0686
2453991.451308,145,14.7130,0.0809
2453991.454468,145,14.8845,0.0991
2453991.458519,145,14.6272,0.0814
2453991.461725,145,14.7460,0.0926
2453991.465903,145,14.5906,0.0844
2453991.469074,145,14.5372,0.0832
2453991.473056,145,14.8865,0.1163
2453991.476134,145,14.8099,0.1122
2453991.479306,145,14.6159,0.0961
2453991.483461,145,14.7731,0.1111
2453991.487535,145,14.7408,0.1115
2453991.491690,145,14.8081,0.1186
2453991.496435,145,14.4874,0.0916
2453991.500382,145,14.8624,0.1301
2453991.504306,145,14.2857,0.0773
2453991.513981,145,14.2545,0.0753
2453991.518056,145,14.2447,0.0748
2453991.522789,145,14.4087,0.0900
2453991.527488,145,14.9642,0.1452
2453991.533125,145,14.5068,0.0949
2453991.537859,145,14.6057,0.1047
2453991.542720,145,14.5868,0.1039
2453991.543588,148,13.8543,0.0516
2453991.547627,145,14.6759,0.1146
2453991.548403,148,13.6841,0.0449
2453991.553519,145,14.3722,0.0876
2453991.554294,148,13.6175,0.0425
2453991.558368,145,14.6922,0.1177
2453991.559120,148,13.4672,0.0366
2453991.563264,145,14.6449,0.1127
2453991.564873,148,14.5480,0.0916
2453991.568889,145,14.9495,0.1477
2453991.569722,148,14.7392,0.1083
2453991.573866,145,14.6945,0.1183
2453991.574711,148,14.5612,0.0927
2453991.578692,145,14.5665,0.1064
2453991.580336,148,14.9336,0.1265
2453991.583495,145,14.6790,0.1173
2453991.584271,148,14.8317,0.1159
2453991.587558,145,14.6743,0.1188
2453991.588322,148,14.7831,0.1143
2453991.591481,145,14.8969,0.1477
2453991.592234,148,14.9012,0.1290
2453991.596377,145,14.5717,0.1097
2453991.597188,148,14.8826,0.1282
2453991.601539,145,14.6628,0.1195
2453991.602292,148,15.0583,0.1500
2453991.605556,145,14.5924,0.1134
2453991.606331,148,14.7516,0.1145
2453991.609572,145,14.3182,0.0899
2453991.610347,148,14.3970,0.0855
2453991.613495,145,14.2806,0.0862
2453991.614294,148,14.2846,0.0758
2453991.618414,145,14.2474,0.0842
2453991.619225,148,14.2152,0.0719
2453991.622488,145,14.2989,0.0883
2453991.623299,148,14.4957,0.0927
2453991.626563,145,14.4283,0.1011
2453991.627315,148,14.5654,0.0982
2453991.630556,145,14.6676,0.1242
2453991.631366,148,14.3753,0.0836
2453991.633889,145,14.5638,0.1197
2453991.634653,148,14.6666,0.1206
2453991.638611,145,14.6252,0.1396
2453991.639421,148,14.4335,0.1013
2453991.642627,148,14.4116,0.1006
2453991.644988,145,14.6578,0.1480
2453991.645741,148,15.1837,0.1995
2453991.648229,145,14.4901,0.1191
2453991.648970,148,14.3399,0.0883
2453991.652176,145,14.4997,0.1230
2453991.652928,148,14.4270,0.1058
2453991.655266,145,14.6903,0.1530
2453991.656065,148,14.2185,0.1044
2453991.658345,145,14.4862,0.1854
2453991.659120,148,15.4191,0.3355
2453991.661528,145,14.9590,0.2321
2453991.662488,148,15.0725,0.2005
2453991.664850,145,14.8196,0.2189
2453991.665602,148,14.7307,0.1886
2453991.668021,145,14.6590,0.2478
2453991.668808,148,14.5607,0.2219
2453991.671944,145,15.4722,0.5011
2453991.678241,145,15.1634,0.5530
2453991.679016,148,15.6536,0.4805
2453991.682153,148,14.7335,0.1353
2453991.684711,148,14.4810,0.0966
2453991.687824,148,14.4778,0.1292
2453991.690370,148,15.0000,0.1547
2453991.692674,148,14.6347,0.1150
2453991.695012,148,15.1577,0.1869
2453991.697593,148,15.0244,0.1646
2453991.699896,148,14.6399,0.1142
2453991.702269,148,14.4253,0.0962
2453991.704664,148,14.8946,0.1506
2453991.707928,148,14.9892,0.1824
2453991.710231,148,14.2598,0.1248
2453991.712604,148,14.3741,0.1527
2453991.714965,148,14.8724,0.2295
2453992.420972,145,15.0424,0.1010
2453992.423368,145,14.6719,0.0717
2453992.425775,145,14.6035,0.0660
2453992.428102,145,14.6011,0.0640
2453992.430440,145,14.6641,0.0672
2453992.432766,145,14.3298,0.0492
2453992.435984,145,14.2867,0.0462
2453992.439213,145,14.1653,0.0412
2453992.442616,145,14.1180,0.0398
2453992.446030,145,14.1820,0.0424
2453992.449236,145,14.1855,0.0420
2453992.452384,145,14.2596,0.0441
2453992.456516,145,14.4005,0.0502
2453992.460602,145,14.4060,0.0495
2453992.463808,145,14.4830,0.0539
2453993.416701,145,14.5680,0.0568
2453993.419005,145,14.7245,0.0661
2453993.421366,145,14.6095,0.0581
2453993.423704,145,14.6278,0.0589
2453993.426169,145,14.8093,0.0694
2453993.428472,145,14.5783,0.0559
2453993.432569,145,14.6922,0.0611
2453993.435880,145,14.7191,0.0634
2453993.439120,145,14.7645,0.0658
2453993.442315,145,14.6845,0.0619
2453993.445579,145,14.7233,0.0633
2453993.448785,145,14.8253,0.0683
2453993.452870,145,14.5572,0.0542
2453993.456019,145,14.8303,0.0689
2453993.460069,145,14.6646,0.0580
2453993.463229,145,14.4542,0.0489
2453993.467350,145,14.3961,0.0462
2453993.470521,145,14.1785,0.0384
2453993.473669,145,14.2354,0.0403
2453993.481852,145,14.2810,0.0422
2453993.485775,145,14.3771,0.0460
2453993.490602,145,14.4255,0.0473
2453993.494769,145,14.4811,0.0484
2453993.498715,145,14.4012,0.0453
2453993.504514,145,14.5408,0.0513
2453993.508438,145,14.5076,0.0495
2453993.512373,145,14.5807,0.0540
2453993.517118,145,14.7393,0.0618
2453993.521910,145,14.7279,0.0627
2453993.527569,145,14.5709,0.0551
2453993.532512,145,14.7695,0.0684
2453993.537188,145,14.8035,0.0728
2453993.542072,145,14.6819,0.0684
2453993.547743,145,14.7593,0.0748
2453993.548576,148,14.2739,0.0393
2453993.552558,145,14.6927,0.0721
2453993.553310,148,14.0459,0.0325
2453993.564491,145,14.5679,0.0671
2453993.570023,145,14.5065,0.0659
2453993.575683,145,14.2225,0.0519
2453993.585370,145,14.1587,0.0490
2453993.591042,145,14.3586,0.0582
2453993.596736,145,14.4504,0.0645
2453993.606354,145,14.4766,0.0661
2453993.612141,145,14.6009,0.0753
2453993.616898,145,14.5617,0.0738
2453993.621725,145,14.5459,0.0724
2453993.625706,145,14.4359,0.0665
2453993.629757,145,14.6173,0.0784
2453993.639213,145,14.5348,0.0739
2453993.643380,145,14.6534,0.0859
2453993.648148,145,15.1005,0.1265
2453993.652141,145,14.7648,0.0948
2453993.656111,145,14.5823,0.0807
2453993.660313,145,14.8541,0.1033
2453993.664271,145,14.5046,0.0756
2453993.669005,145,14.7877,0.0968
2453993.713704,148,14.7636,0.0842
2453994.384907,145,14.6813,0.0715
2453994.387269,145,14.6179,0.0682
2453994.389722,145,14.6149,0.0649
2453994.392153,145,14.5016,0.0588
2453994.395463,145,14.5344,0.0592
2453994.397905,145,14.3523,0.0496
2453994.400347,145,14.2122,0.0434
2453994.402801,145,14.2451,0.0435
2453994.405104,145,14.2196,0.0425
2453994.407407,145,14.1571,0.0400
2453994.409826,145,14.2374,0.0428
2453994.414132,145,14.2984,0.0451
2453994.416528,145,14.3630,0.0474
2453994.418831,145,14.3198,0.0452
2453994.421192,145,14.4169,0.0486
2453994.423507,145,14.5761,0.0561
2453994.425961,145,14.4671,0.0508
2453994.430289,145,14.5415,0.0539
2453994.433495,145,14.5276,0.0526
2453994.436725,145,14.5620,0.0539
2453994.439931,145,14.6048,0.0551
2453994.443171,145,14.4842,0.0497
2453994.446412,145,14.6271,0.0564
2453994.450382,145,14.6194,0.0558
2453994.453611,145,14.7238,0.0610
2453994.457905,145,14.5726,0.0521
2453994.461076,145,14.7385,0.0614
2453994.465185,145,14.6693,0.0572
2453994.468391,145,14.7876,0.0641
2453994.471574,145,14.7723,0.0634
2453994.475637,145,14.8086,0.0654
2453994.479572,145,14.7950,0.0654
2453994.483646,145,14.8539,0.0675
2453994.488530,145,14.7362,0.0614
2453994.492581,145,14.7557,0.0624
2453994.496597,145,14.5608,0.0525
2453994.501667,145,14.3353,0.0435
2453994.505648,145,14.2116,0.0386
2453994.514525,145,14.2887,0.0417
2453994.519537,145,14.3123,0.0422
2453994.525255,145,14.3919,0.0469
2453994.530150,145,14.3062,0.0429
2453994.535752,145,14.4424,0.0473
2453994.536505,148,14.4983,0.0423
2453994.540544,145,14.7113,0.0605
2453994.542130,148,14.6057,0.0455
2453994.546215,145,14.5898,0.0537
2453994.546991,148,14.2689,0.0335
2453994.551065,145,14.6154,0.0545
2453994.551840,148,14.4748,0.0398
2453994.557569,145,14.8310,0.0681
2453994.558345,148,14.8372,0.0562
2453994.563299,145,14.7164,0.0630
2453994.564109,148,14.6959,0.0504
2453994.568935,145,14.7642,0.0673
2453994.569699,148,14.8111,0.0565
2453994.574560,145,14.6943,0.0637
2453994.575336,148,14.8817,0.0617
2453994.579329,145,14.7591,0.0692
2453994.580139,148,14.8788,0.0622
2453994.584051,145,14.7432,0.0692
2453994.585648,148,14.9530,0.0681
2453994.589630,145,14.6597,0.0662
2453994.590463,148,15.0877,0.0775
2453994.595602,145,14.6328,0.0648
2453994.596412,148,14.8114,0.0613
2453994.600556,145,14.5712,0.0627
2453994.601331,148,14.6455,0.0528
2453994.605475,145,14.3455,0.0517
2453994.607025,148,14.3950,0.0426
2453994.611262,145,14.1999,0.0460
2453994.612014,148,14.2855,0.0396
2453994.616215,145,14.3064,0.0513
2453994.616991,148,14.4349,0.0460
2453994.621065,145,14.3176,0.0520
2453994.621840,148,14.3702,0.0431
2453994.625023,145,14.3749,0.0552
2453994.625822,148,14.6534,0.0554
2453994.630521,145,14.4148,0.0565
2453994.631308,148,14.5341,0.0496
2453994.635544,148,14.6479,0.0561
2453994.638681,145,14.6135,0.0695
2453994.639468,148,14.6629,0.0568
2453994.643472,145,14.6350,0.0707
2453994.644259,148,14.5652,0.0522
2453994.647523,145,14.6088,0.0693
2453994.648299,148,14.7794,0.0636
2453994.651470,145,14.7130,0.0778
2453994.652222,148,14.0787,0.0346
2453994.655394,145,14.4328,0.0608
2453994.656169,148,14.5816,0.0545
2453994.659375,145,14.5628,0.0693
2453994.660185,148,15.1335,0.0911
2453994.664294,145,14.7105,0.0788
2453994.665046,148,14.7355,0.0638
2453994.668194,145,14.7936,0.0865
2453994.668993,148,14.6531,0.0584
2453994.673021,148,14.8393,0.0708
2453994.676250,148,16.2783,0.7414
2453994.680243,148,14.7715,0.0675
2453994.683403,148,14.5916,0.0566
2453994.686644,148,14.7382,0.0657
2453994.689942,148,14.8463,0.0735
2453994.693125,148,14.6374,0.0616
2453994.696262,148,14.6040,0.0606
2453994.700220,148,14.6350,0.0640
2453994.703368,148,14.6638,0.0654
2453994.706620,148,14.2073,0.0440
2453994.709803,148,14.4249,0.0553
2453995.382465,145,14.6800,0.0765
2453995.384954,145,14.4443,0.0628
2453995.387384,145,14.6010,0.0714
2453995.390694,145,14.6629,0.0734
2453995.393090,145,14.5788,0.0680
2453995.395486,145,14.6097,0.0684
2453995.397882,145,14.6584,0.0707
2453995.400336,145,14.7969,0.0795
2453995.402824,145,14.7863,0.0770
2453995.405220,145,14.8177,0.0777
2453995.407674,145,14.7701,0.0729
2453995.411875,145,14.5948,0.0610
2453995.414248,145,14.7162,0.0678
2453995.416678,145,14.7736,0.0699
2453995.419039,145,14.7556,0.0693
2453995.421412,145,14.6072,0.0604
2453995.423773,145,14.7889,0.0707
2453995.427847,145,14.3215,0.0462
2453995.431215,145,14.2522,0.0428
2453995.434456,145,14.2602,0.0437
2453995.437616,145,14.2125,0.0415
2453995.440822,145,14.2358,0.0434
2453995.444028,145,14.2126,0.0421
2453995.447963,145,14.3196,0.0465
2453995.455359,145,14.4737,0.0541
2453995.458542,145,14.5106,0.0554
2453995.462963,145,14.5813,0.0591
2453995.466192,145,14.5360,0.0564
2453995.470336,145,14.5879,0.0595
2453995.474502,145,14.6182,0.0597
2453995.478611,145,14.4987,0.0544
2453995.483403,145,14.6577,0.0635
2453995.487338,145,14.6400,0.0617
2453995.491412,145,14.6125,0.0603
2453995.496296,145,14.6769,0.0632
2453995.501389,145,14.8574,0.0753
2453995.505359,145,14.7881,0.0704
2453995.510116,145,14.6921,0.0640
2453995.515035,145,14.5876,0.0590
2453995.520822,145,14.7430,0.0672
2453995.525556,145,14.7546,0.0676
2453995.530625,145,14.4930,0.0534
2453995.536481,145,14.2819,0.0442
2453995.542234,145,14.2112,0.0412
2453995.547118,145,14.2987,0.0446
2453995.552720,145,14.3794,0.0481
2453995.559259,145,14.3779,0.0469
2453995.564896,145,14.4139,0.0489
2453995.570613,145,14.4816,0.0522
2453995.575451,145,14.5506,0.0544
2453995.580243,145,14.5386,0.0543
2453995.585868,145,14.5765,0.0564
2453995.592442,145,14.6625,0.0617
2453995.598009,145,14.8308,0.0728
2453995.604294,145,14.5693,0.0576
2453995.609780,145,14.8883,0.0821
2453995.615532,145,14.8780,0.1067
2453995.620197,145,14.8637,0.1162
